year,position,song,artist_main,artist_full,song_and_artist,avg_rank,peak_rank,weeks_on_board
1958,1,One Night,Elvis Presley,Elvis Presley,One Night - Elvis Presley,9.38,4,36
1958,2,Tom Dooley,The Kingston Trio,The Kingston Trio,Tom Dooley - The Kingston Trio,12.5,1,105
1958,3,Beep Beep,The Playmates,The Playmates,Beep Beep - The Playmates,12.56,4,45
1958,4,It's Only Make Believe,Conway Twitty,Conway Twitty,It's Only Make Believe - Conway Twitty,13.94,1,136
1958,5,It's All In The Game,Tommy Edwards,Tommy Edwards,It's All In The Game - Tommy Edwards,15.4,1,210
1958,6,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré) - Domenico Modugno,16.5,1,136
1958,7,Lonesome Town,Ricky Nelson,Ricky Nelson,Lonesome Town - Ricky Nelson,16.55,7,66
1958,8,Problems,The Everly Brothers,The Everly Brothers,Problems - The Everly Brothers,16.88,2,36
1958,9,I Got Stung,Elvis Presley,Elvis Presley,I Got Stung - Elvis Presley,17.11,8,45
1958,10,Little Star,The Elegants,The Elegants,Little Star - The Elegants,18.29,1,153
1958,11,Just A Dream,Jimmy Clanton And His Rockets,Jimmy Clanton And His Rockets,Just A Dream - Jimmy Clanton And His Rockets,18.47,4,120
1958,12,Poor Little Fool,Ricky Nelson,Ricky Nelson,Poor Little Fool - Ricky Nelson,19.0,1,66
1958,13,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser - Duane Eddy His Twangy Guitar And The Rebels,19.75,6,36
1958,14,Bird Dog,The Everly Brothers,The Everly Brothers,Bird Dog - The Everly Brothers,19.89,2,171
1958,15,I Got A Feeling,Ricky Nelson,Ricky Nelson,I Got A Feeling - Ricky Nelson,20.17,10,78
1958,16,Susie Darlin',Robin Luke,Robin Luke,Susie Darlin' - Robin Luke,21.29,5,153
1958,17,"To Know Him, Is To Love Him",The Teddy Bears,The Teddy Bears,"To Know Him, Is To Love Him - The Teddy Bears",21.87,1,120
1958,18,Chantilly Lace,Big Bopper,Big Bopper,Chantilly Lace - Big Bopper,22.0,6,253
